participant,num,gender,self_feature,partner,partner_num,partner_gender,partner_feature,partner_diff,nonpartner_diff
2001A,9999,MALE,,2001B,8888,MALE,,,
2001B,8888,MALE,,2001A,9999,MALE,,,
2005A,1169,MALE,,2005B,1133,MALE,,,
2005B,1133,MALE,,2005A,1169,MALE,,,
2006A,1035,FEMALE,,2006B,1061,MALE,,,
2006B,1061,MALE,,2006A,1035,FEMALE,,,
2007A,1151,MALE,,2007B,1052,MALE,,,
2007B,1052,MALE,,2007A,1151,MALE,,,
2008A,1176,FEMALE,,2008B,1057,FEMALE,,,
2008B,1057,FEMALE,,2008A,1176,FEMALE,,,
2009A,1055,FEMALE,,2009B,1126,FEMALE,,,
2009B,1126,FEMALE,,2009A,1055,FEMALE,,,
2010A,1027,FEMALE,,2010B,1039,MALE,,,
2010B,1039,MALE,,2010A,1027,FEMALE,,,
2012A,1110,MALE,,2012B,1119,MALE,,,
2012B,1119,MALE,,2012A,1110,MALE,,,
2013A,1071,FEMALE,,2013B,1146,MALE,,,
2013B,1146,MALE,,2013A,1071,FEMALE,,,
2014A,1153,FEMALE,,2014B,1053,FEMALE,,,
2014B,1053,FEMALE,,2014A,1153,FEMALE,,,
2015A,1122,MALE,,2015B,1112,FEMALE,,,
2015B,1112,FEMALE,,2015A,1122,MALE,,,
2017A,1148,FEMALE,,2017B,1147,MALE,,,
2017B,1147,MALE,,2017A,1148,FEMALE,,,
2018A,1000,FEMALE,,2018B,1044,FEMALE,,,
2018B,1044,FEMALE,,2018A,1000,FEMALE,,,
2019A,1052,MALE,,2019B,1142,MALE,,,
2019B,1142,MALE,,2019A,1052,MALE,,,
2020A,1176,FEMALE,,2020B,1169,MALE,,,
2020B,1169,MALE,,2020A,1176,FEMALE,,,
2022A,1138,FEMALE,,2022B,1107,FEMALE,,,
2022B,1107,FEMALE,,2022A,1138,FEMALE,,,
2023A,1033,FEMALE,,2023B,1135,FEMALE,,,
2023B,1135,FEMALE,,2023A,1033,FEMALE,,,
2024A,1016,FEMALE,,2024B,1061,MALE,,,
2024B,1061,MALE,,2024A,1016,FEMALE,,,
2025A,1061,MALE,,2025B,1064,FEMALE,,,
2025B,1064,FEMALE,,2025A,1061,MALE,,,
2027A,1035,FEMALE,,2027B,1096,FEMALE,,,
2027B,1096,FEMALE,,2027A,1035,FEMALE,,,
2028A,1086,FEMALE,,2028B,1101,MALE,,,
2028B,1101,MALE,,2028A,1086,FEMALE,,,
2032A,1167,MALE,,2032B,1093,FEMALE,,,
2032B,1093,FEMALE,,2032A,1167,MALE,,,
2035A,1176,FEMALE,,2035B,1107,FEMALE,,,
2035B,1107,FEMALE,,2035A,1176,FEMALE,,,
2036A,1063,MALE,,2036B,1013,FEMALE,,,
2036B,1013,FEMALE,,2036A,1063,MALE,,,
2038A,1073,MALE,,2038B,1039,MALE,,,
2038B,1039,MALE,,2038A,1073,MALE,,,
2039A,1101,MALE,,2039B,1152,FEMALE,,,
2039B,1152,FEMALE,,2039A,1101,MALE,,,
2040A,1130,FEMALE,,2040B,1119,MALE,,,
2040B,1119,MALE,,2040A,1130,FEMALE,,,
2041A,1110,MALE,,2041B,1179,FEMALE,,,
2041B,1179,FEMALE,,2041A,1110,MALE,,,
2044A,1219,MALE,,2044B,1005,FEMALE,,,
2044B,1005,FEMALE,,2044A,1219,MALE,,,
2045A,1033,FEMALE,,2045B,1055,FEMALE,,,
2045B,1055,FEMALE,,2045A,1033,FEMALE,,,
2050A,1102,MALE,,2050B,1148,FEMALE,,,
2050B,1148,FEMALE,,2050A,1102,MALE,,,
2051A,1000,FEMALE,,2051B,1051,MALE,,,
2051B,1051,MALE,,2051A,1000,FEMALE,,,
2053A,1013,FEMALE,,2053B,1135,FEMALE,,,
2053B,1135,FEMALE,,2053A,1013,FEMALE,,,
2054A,1007,FEMALE,,2054B,1107,FEMALE,,,
2054B,1107,FEMALE,,2054A,1007,FEMALE,,,
2055A,1176,FEMALE,,2055B,1139,MALE,,,
2055B,1139,MALE,,2055A,1176,FEMALE,,,
2056A,1033,FEMALE,,2056B,1011,FEMALE,,,
2056B,1011,FEMALE,,2056A,1033,FEMALE,,,
2057A,1179,FEMALE,,2057B,1060,FEMALE,,,
2057B,1060,FEMALE,,2057A,1179,FEMALE,,,
2060A,1152,FEMALE,,2060B,1056,MALE,,,
2060B,1056,MALE,,2060A,1152,FEMALE,,,
2061A,1167,MALE,,2061B,1021,MALE,,,
2061B,1021,MALE,,2061A,1167,MALE,,,
2062A,1085,MALE,,2062B,1096,FEMALE,,,
2062B,1096,FEMALE,,2062A,1085,MALE,,,
2064A,1133,MALE,,2064B,1148,FEMALE,,,
2064B,1148,FEMALE,,2064A,1133,MALE,,,
2065A,1140,MALE,,2065B,1064,FEMALE,,,
2065B,1064,FEMALE,,2065A,1140,MALE,,,
2067A,1123,FEMALE,,2067B,1107,FEMALE,,,
2067B,1107,FEMALE,,2067A,1123,FEMALE,,,
2071A,1013,FEMALE,,2071B,1016,FEMALE,,,
2071B,1016,FEMALE,,2071A,1013,FEMALE,,,
2072A,1042,FEMALE,,2072B,1061,MALE,,,
2072B,1061,MALE,,2072A,1042,FEMALE,,,
2073A,1174,MALE,,2073B,1047,MALE,,,
2073B,1047,MALE,,2073A,1174,MALE,,,
2078A,1071,FEMALE,,2078B,1027,FEMALE,,,
2078B,1027,FEMALE,,2078A,1071,FEMALE,,,
